iter	RMSE
0	0.1151653401
1	0.1151243777
2	0.1150765481
3	0.1150309068
4	0.1149964548
5	0.1149543105
6	0.1149045702
7	0.1148497997
8	0.1148035875
9	0.1147572944
10	0.1147029583
11	0.1146538598
12	0.1146137101
13	0.1145708662
14	0.1145294735
15	0.1144874576
16	0.1144231435
17	0.1143685508
18	0.1143241914
19	0.1142806322
20	0.1142450931
21	0.1142025326
22	0.1141672397
23	0.1141353323
24	0.1141020623
25	0.1140566415
26	0.114019433
27	0.1139848663
28	0.1139470365
29	0.1139100564
30	0.113877619
31	0.1138358208
32	0.1137837885
33	0.1137558392
34	0.1137128629
35	0.113677819
36	0.1136364241
37	0.1135892309
38	0.1135450276
39	0.1134871769
40	0.1134547261
41	0.1134158541
42	0.1133867489
43	0.1133502818
44	0.1133290306
45	0.1132884936
46	0.1132551291
47	0.1132073742
48	0.1131752091
49	0.1131491357
50	0.1131253177
51	0.1130783721
52	0.1130303915
53	0.1129837131
54	0.1129351117
55	0.1128915991
56	0.1128527421
57	0.1128102462
58	0.1127822555
59	0.1127561548
60	0.1127198575
61	0.1126778021
62	0.1126558904
63	0.112627109
64	0.1125874083
65	0.1125586023
66	0.1125267196
67	0.1124949564
68	0.1124582139
69	0.1124199242
70	0.1123913458
71	0.112371785
72	0.1123391888
73	0.1123025689
74	0.1122592385
75	0.1122186585
76	0.1121721461
77	0.112133002
78	0.1121011972
79	0.1120657306
80	0.112041222
81	0.1120156968
82	0.1119852061
83	0.1119603822
84	0.1119345903
85	0.1119029123
86	0.1118629462
87	0.1118149743
88	0.1117963481
89	0.1117554156
90	0.1116988204
91	0.1116515381
92	0.1116233605
93	0.1115848764
94	0.1115586728
95	0.1115171932
96	0.1114809567
97	0.1114389334
98	0.1114034152
99	0.1113784257
100	0.1113452735
101	0.1113073021
102	0.1112700075
103	0.1112282973
104	0.1111980755
105	0.1111640137
106	0.1111272353
107	0.111083612
108	0.1110332292
109	0.1109930287
110	0.1109616968
111	0.1109174602
112	0.1108734781
113	0.1108423038
114	0.1108064563
115	0.1107702729
116	0.1107258951
117	0.1106801544
118	0.1106411328
119	0.1106033241
120	0.1105601561
121	0.1105286888
122	0.1104987439
123	0.1104701134
124	0.110433054
125	0.1103952569
126	0.1103589823
127	0.1103199562
128	0.1102889977
129	0.1102652542
130	0.1102298721
131	0.1101968138
132	0.1101434672
133	0.1100945178
134	0.1100732635
135	0.1100365322
136	0.1099905947
137	0.109959237
138	0.1099346312
139	0.1099026728
140	0.1098729799
141	0.1098388646
142	0.1098013522
143	0.1097640405
144	0.1097234167
145	0.1096877666
146	0.1096373301
147	0.1096065594
148	0.1095752416
149	0.1095293519
150	0.1094819624
151	0.1094459277
152	0.1094095107
153	0.1093591714
154	0.1093300327
155	0.1092989023
156	0.1092712573
157	0.1092294614
158	0.1091827777
159	0.1091257712
160	0.1090897486
161	0.1090617704
162	0.1090148757
163	0.1089878596
164	0.1089557993
165	0.1089137072
166	0.1088776811
167	0.1088433329
168	0.1087985157
169	0.1087625516
170	0.1087093115
171	0.1086592319
172	0.1086211212
173	0.1085799678
174	0.1085342642
175	0.1084879356
176	0.108435407
177	0.1083909634
178	0.1083582374
179	0.1083071633
180	0.1082688307
181	0.1082329481
182	0.1081966645
183	0.1081588192
184	0.1081167759
185	0.1080545468
186	0.1080305299
187	0.1079935402
188	0.107948864
189	0.1079176035
190	0.107872568
191	0.1078288322
192	0.1077673631
193	0.1077249789
194	0.1076911192
195	0.1076360537
196	0.1075926719
197	0.1075573922
198	0.1075215738
199	0.1074643023
200	0.1074293729
201	0.107389294
202	0.1073387013
203	0.1073019918
204	0.1072568741
205	0.1072165291
206	0.107173556
207	0.1071421764
208	0.1070908346
209	0.1070607412
210	0.1070153379
211	0.1069819268
212	0.1069494097
213	0.1069099126
214	0.1068613761
215	0.1068177542
216	0.1067829278
217	0.1067448484
218	0.1067140466
219	0.1066724902
220	0.1066394011
221	0.1066067849
222	0.1065710627
223	0.1065232563
224	0.1064778038
225	0.1064336972
226	0.1064019684
227	0.1063516783
228	0.1063091164
229	0.1062551338
230	0.1062218295
231	0.1061726047
232	0.1061424027
233	0.1061081268
234	0.1060734179
235	0.1060301695
236	0.1059915566
237	0.1059606837
238	0.1059218134
239	0.1058833615
240	0.1058466625
241	0.1058116962
242	0.105772847
243	0.1057260672
244	0.1056861447
245	0.1056635112
246	0.1056274912
247	0.1055845226
248	0.1055332321
249	0.105476205
250	0.1054311283
251	0.1053925716
252	0.1053507063
253	0.1053084836
254	0.1052765546
255	0.1052332894
256	0.1051949611
257	0.105156275
258	0.1051261999
259	0.1050888748
260	0.1050432755
261	0.1050078139
262	0.1049718977
263	0.1049360448
264	0.1049055035
265	0.1048653543
266	0.1048349406
267	0.1047889369
268	0.1047578923
269	0.1047143159
270	0.1046715941
271	0.1046386959
272	0.1046015045
273	0.1045570061
274	0.1045116129
275	0.1044741207
276	0.1044244275
277	0.1043768037
278	0.1043403659
279	0.1043002074
280	0.1042612258
281	0.1042021816
282	0.1041538533
283	0.1041159884
284	0.1040844042
285	0.104054374
286	0.1040103863
287	0.1039587382
288	0.103919076
289	0.1038771894
290	0.1038271196
291	0.1038048862
292	0.1037676229
293	0.1037097331
294	0.1036693137
295	0.1036265602
296	0.1035934315
297	0.1035617812
298	0.1035158989
299	0.1034753288
300	0.1034351845
301	0.1033912586
302	0.1033604963
303	0.1033209953
304	0.1032711769
305	0.1032289875
306	0.1031844891
307	0.103133272
308	0.1030863204
309	0.1030539527
310	0.1030103118
311	0.1029683245
312	0.1029245725
313	0.1028920327
314	0.1028538384
315	0.1028078271
316	0.1027748979
317	0.1027387229
318	0.1026949437
319	0.1026443428
320	0.1026079032
321	0.1025768189
322	0.1025315494
323	0.102508028
324	0.1024776944
325	0.1024454601
326	0.1024175747
327	0.1023740869
328	0.1023300191
329	0.1023011068
330	0.1022678965
331	0.1022296068
332	0.1021922851
333	0.1021454705
334	0.1021034093
335	0.102068359
336	0.1020266666
337	0.1019869512
338	0.1019430342
339	0.1018930371
340	0.1018516799
341	0.1018183643
342	0.1017721475
343	0.1017381022
344	0.1017040249
345	0.1016740001
346	0.1016316922
347	0.1015974297
348	0.1015611954
349	0.1015276461
350	0.1014941839
351	0.1014732808
352	0.1014359022
353	0.1014015591
354	0.1013698218
355	0.1013449828
356	0.1013021051
357	0.10126375
358	0.1012156521
359	0.1011648854
360	0.1011158581
361	0.1010871864
362	0.1010441988
363	0.1010166656
364	0.1009768418
365	0.1009446998
366	0.100903146
367	0.1008442248
368	0.1008004562
369	0.1007797782
370	0.1007263275
371	0.100703151
372	0.1006796993
373	0.1006419781
374	0.1005935883
375	0.10056044
376	0.1005145918
377	0.1004632174
378	0.1004344601
379	0.1004034073
380	0.1003673303
381	0.1003313989
382	0.1002795515
383	0.1002465141
384	0.1001995787
385	0.1001640271
386	0.1001233399
387	0.1000828764
388	0.1000470696
389	0.1000192959
390	0.09999333918
391	0.09995333012
392	0.09990655959
393	0.09986621838
394	0.09982414573
395	0.09978562698
396	0.09974361278
397	0.099703268
398	0.09965156132
399	0.09961537247
400	0.09957313599
401	0.09953756053
402	0.09950352439
403	0.09948096377
404	0.09943641873
405	0.09940429755
406	0.09936810842
407	0.09932715593
408	0.09929812898
409	0.09925167323
410	0.09922528457
411	0.09919067019
412	0.09915213216
413	0.09911867642
414	0.09908255719
415	0.09905860044
416	0.09900911562
417	0.0989803952
418	0.09895271145
419	0.09891196266
420	0.09888426012
421	0.09884472566
422	0.09880915119
423	0.09878357743
424	0.09873628917
425	0.09870234158
426	0.09864621235
427	0.09860285653
428	0.09857772983
429	0.09852168573
430	0.09847724074
431	0.09843731497
432	0.09840277684
433	0.09836763196
434	0.09833607355
435	0.09830478986
436	0.09826722138
437	0.09824388386
438	0.09820625269
439	0.09817803442
440	0.09815486151
441	0.09810526671
442	0.09805023852
443	0.09802247837
444	0.09798592391
445	0.09796009472
446	0.09793322805
447	0.09789377598
448	0.09785473143
449	0.09781338033
450	0.09776566884
451	0.09773111407
452	0.09768973924
453	0.09764884472
454	0.09761552019
455	0.09757150289
456	0.09753252688
457	0.097499839
458	0.09747730219
459	0.0974389985
460	0.09739387356
461	0.09734925281
462	0.09730810307
463	0.09729050985
464	0.09725574637
465	0.09720827072
466	0.09718155554
467	0.09715767709
468	0.09711988714
469	0.09708727483
470	0.0970386215
471	0.09699947802
472	0.0969538961
473	0.09690692747
474	0.09686287905
475	0.09682613422
476	0.09678571834
477	0.09674813237
478	0.09670857853
479	0.09667319902
480	0.09663542912
481	0.09661636806
482	0.09656476866
483	0.09654598958
484	0.09650260402
485	0.09647115276
486	0.09642797014
487	0.0964007621
488	0.09635253691
489	0.09633295438
490	0.09630789555
491	0.09627364022
492	0.09624791383
493	0.09619083311
494	0.09615636492
495	0.09613222668
496	0.09609587089
497	0.09606651887
498	0.09602667674
499	0.09597326302
500	0.0959448496
501	0.09591449922
502	0.09587075791
503	0.09583286341
504	0.09579770511
505	0.09575888888
506	0.09571883885
507	0.09567967657
508	0.09564981204
509	0.09561527831
510	0.09559666494
511	0.09556574604
512	0.09553548879
513	0.0955006028
514	0.09546454482
515	0.0954228531
516	0.09540059506
517	0.0953628828
518	0.0953311875
519	0.09530715524
520	0.0952678656
521	0.09524444051
522	0.09520758189
523	0.09518428545
524	0.09514075043
525	0.09509979486
526	0.0950608629
527	0.09502547677
528	0.09498311248
529	0.09494687783
530	0.09491811046
531	0.09488227711
532	0.09485519831
533	0.09481451013
534	0.09477453574
535	0.09474138831
536	0.09471790828
537	0.09468073691
538	0.09464660298
539	0.09460905849
540	0.09458192534
541	0.09453778584
542	0.09451065892
543	0.09447421964
544	0.09443649184
545	0.09440012955
546	0.09436953814
547	0.09433331699
548	0.09429334469
549	0.09426465095
550	0.09423034982
551	0.09418235104
552	0.09414150086
553	0.09409767206
554	0.09406671629
555	0.09402347729
556	0.093999271
557	0.09396361054
558	0.09392823176
559	0.09388961453
560	0.09385845707
561	0.09381981794
562	0.09377727646
563	0.09374324191
564	0.09370566286
565	0.09366717678
566	0.09363730862
567	0.09360100341
568	0.09356343907
569	0.09352797354
570	0.09350095252
571	0.09346792575
572	0.09343862905
573	0.09339310112
574	0.09336725061
575	0.09333375508
576	0.09330023765
577	0.09326146038
578	0.09322902313
579	0.0932046103
580	0.09317753576
581	0.09314097311
582	0.09310903429
583	0.09308250251
584	0.09304030182
585	0.09301228747
586	0.09297130226
587	0.09293775301
588	0.09289558193
589	0.09284997628
590	0.09281071196
591	0.09278301117
592	0.09275775115
593	0.09272248995
594	0.09268523666
595	0.092641974
596	0.0925988436
597	0.09256919775
598	0.0925409369
599	0.09251528583
600	0.09247338216
601	0.09243153885
602	0.09238988089
603	0.09234855232
604	0.09231469719
605	0.0922837662
606	0.0922511412
607	0.09221579987
608	0.09218424632
609	0.0921590794
610	0.09212082043
611	0.09210411255
612	0.09207247418
613	0.09203527727
614	0.09201360976
615	0.0919778691
616	0.09195298187
617	0.09190993028
618	0.09188380939
619	0.09185508626
620	0.09181511474
621	0.09179039296
622	0.09174957392
623	0.09170742901
624	0.09167385252
625	0.09165166195
626	0.09161957997
627	0.09158129974
628	0.09154413427
629	0.09151090244
630	0.09147958369
631	0.09143646573
632	0.0914024659
633	0.09136534688
634	0.09133830648
635	0.09129661858
636	0.09125826495
637	0.09121603241
638	0.0911812332
639	0.09115476586
640	0.09112291149
641	0.09108754057
642	0.09104924539
643	0.09101986888
644	0.09098166487
645	0.09095104694
646	0.09092328902
647	0.09088863301
648	0.09084902801
649	0.09081639416
650	0.09080317489
651	0.09077509359
652	0.09075185645
653	0.09072311493
654	0.09069424864
655	0.09066872194
656	0.09062638034
657	0.09059902128
658	0.09056024553
659	0.09053198673
660	0.09050309566
661	0.09048316355
662	0.09044324724
663	0.09040760579
664	0.09038136741
665	0.09035131673
666	0.09032104852
667	0.09028746679
668	0.09024860162
669	0.09020943105
670	0.09017857983
671	0.09014625337
672	0.09011501821
673	0.09007985491
674	0.0900386011
675	0.09000457798
676	0.08996362154
677	0.08993415373
678	0.08989775422
679	0.08987065377
680	0.08984204766
681	0.08980943814
682	0.08978375173
683	0.08975127204
684	0.08973281844
685	0.08970300151
686	0.08967656336
687	0.08965256044
688	0.0896110469
689	0.08957442869
690	0.08955216679
691	0.08951362971
692	0.08948324574
693	0.08944803271
694	0.08942268387
695	0.08940245602
696	0.08936622167
697	0.08933931621
698	0.08932126196
699	0.0892835125
700	0.08924858551
701	0.08921730145
702	0.08918444638
703	0.08915574234
704	0.08911948437
705	0.08909922475
706	0.08906203789
707	0.0890328093
708	0.08900177903
709	0.08896844416
710	0.0889393711
711	0.08891971967
712	0.08888450787
713	0.08883916562
714	0.08880595047
715	0.08877891654
716	0.08874455253
717	0.08869970681
718	0.08865235564
719	0.08861148139
720	0.08858405354
721	0.08855072786
722	0.08851188018
723	0.0884867927
724	0.08845172005
725	0.08841898171
726	0.08838444395
727	0.08834210184
728	0.08831468306
729	0.08828754942
730	0.08825484601
731	0.08823460654
732	0.08819728569
733	0.08816646832
734	0.08814379062
735	0.08811287398
736	0.08808789616
737	0.08806682095
738	0.08803764099
739	0.08800668513
740	0.08798284663
741	0.08794079809
742	0.08792418209
743	0.08789250136
744	0.08785627896
745	0.08782813391
746	0.08779426393
747	0.08776285081
748	0.08773613964
749	0.08770066139
750	0.08765716727
751	0.0876271009
752	0.08760223541
753	0.08758023775
754	0.08754062689
755	0.0875085036
756	0.08748400322
757	0.08745420274
758	0.08742746989
759	0.08739423751
760	0.0873604144
761	0.08733610749
762	0.08730418009
763	0.08727517403
764	0.08725103147
765	0.0872292878
766	0.08719689243
767	0.08716971803
768	0.08713721693
769	0.08710791118
770	0.08707462716
771	0.08704392781
772	0.08699671188
773	0.08695862757
774	0.08693564076
775	0.0869142366
776	0.0868726149
777	0.0868447945
778	0.08681648336
779	0.08678252628
780	0.08674667561
781	0.08671746797
782	0.08669316823
783	0.08666698775
784	0.0866271355
785	0.08659454884
786	0.08657759105
787	0.08654926021
788	0.0865261358
789	0.08649573782
790	0.08647001764
791	0.08644190263
792	0.08640166884
793	0.0863631183
794	0.08633368455
795	0.08631538975
796	0.08627440304
797	0.08624532269
798	0.08621050132
799	0.08617645456
800	0.08614484077
801	0.08611108155
802	0.08607234991
803	0.08604247361
804	0.08601260108
805	0.08598534102
806	0.08595270638
807	0.08592747362
808	0.08589239578
809	0.08586494155
810	0.08583775097
811	0.08580565994
812	0.08577234033
813	0.08575212971
814	0.08572844724
815	0.08570186106
816	0.08566167594
817	0.08563977867
818	0.08561219639
819	0.08558288845
820	0.08555046519
821	0.08553423816
822	0.08550021208
823	0.08547444903
824	0.08544564455
825	0.08541477392
826	0.08539132822
827	0.0853690027
828	0.08534435387
829	0.08531276648
830	0.08528152312
831	0.08523928322
832	0.08521274473
833	0.08518189587
834	0.08515326234
835	0.08511329584
836	0.08507920151
837	0.08505284246
838	0.08502228686
839	0.084976522
840	0.08495026169
841	0.08491717897
842	0.08488469426
843	0.08485790565
844	0.08483939888
845	0.084810191
846	0.08477571195
847	0.08474943791
848	0.08471349925
849	0.08468978531
850	0.0846659711
851	0.08464197144
852	0.08460304386
853	0.08457204217
854	0.08454820228
855	0.08452535089
856	0.08450224052
857	0.08447321903
858	0.08445349558
859	0.08443773134
860	0.08440986933
861	0.08439710385
862	0.08436970445
863	0.0843421913
864	0.08430161023
865	0.08427712799
866	0.08425574253
867	0.08423926203
868	0.08420390678
869	0.08417150044
870	0.08413876932
871	0.08410257937
872	0.08407963674
873	0.08405093417
874	0.08403176716
875	0.0840102815
876	0.08397937684
877	0.08395442826
878	0.08392800624
879	0.08388219492
880	0.08386152243
881	0.08383374454
882	0.08380000144
883	0.08377982231
884	0.08375255151
885	0.083727497
886	0.08369530649
887	0.083659987
888	0.08363591988
889	0.08361297732
890	0.08359141557
891	0.08356779413
892	0.08354299082
893	0.08351066983
894	0.08347866367
895	0.08344674701
896	0.08341824432
897	0.08339327603
898	0.08337119996
899	0.08333484756
900	0.08329759757
901	0.08327666414
902	0.08323878425
903	0.08320669138
904	0.08319397419
905	0.08316565681
906	0.08312965516
907	0.08310553211
908	0.08306989757
909	0.08303314162
910	0.08301089218
911	0.08297696776
912	0.08294484095
913	0.08289750038
914	0.08287226953
915	0.08284768023
916	0.08280825745
917	0.08278052172
918	0.08274839105
919	0.08272183881
920	0.08269532551
921	0.0826667179
922	0.08264267155
923	0.08260957208
924	0.0825904965
925	0.08256040269
926	0.08253189379
927	0.08251366916
928	0.08248494339
929	0.082458782
930	0.08242285899
931	0.08240021043
932	0.0823762692
933	0.08234507929
934	0.08231373137
935	0.08229519122
936	0.082264033
937	0.08223730281
938	0.08221545445
939	0.08218129028
940	0.08215583155
941	0.08212478875
942	0.08209363075
943	0.08206469027
944	0.08203906437
945	0.08200941606
946	0.08199200537
947	0.08195814838
948	0.08192165287
949	0.08189328168
950	0.0818725133
951	0.08184346635
952	0.0818192033
953	0.0818023812
954	0.08177275968
955	0.08174918401
956	0.08172651396
957	0.08169294141
958	0.08165950705
959	0.08163707164
960	0.08161106044
961	0.08158142021
962	0.08155952602
963	0.08152343648
964	0.08149964829
965	0.08146900987
966	0.08144830181
967	0.08142160479
968	0.08139813951
969	0.08137482122
970	0.08134731356
971	0.08131171989
972	0.08128813821
973	0.08126956032
974	0.08124313285
975	0.08121954897
976	0.08120236615
977	0.08117997896
978	0.08115602207
979	0.08113275613
980	0.08111877448
981	0.08108793309
982	0.08106600894
983	0.08104185735
984	0.08101933403
985	0.08099082316
986	0.08096459563
987	0.08093244851
988	0.08089881919
989	0.08087306556
990	0.08084596958
991	0.08081967925
992	0.08078600419
993	0.08075581484
994	0.08073262729
995	0.08070692091
996	0.0806853685
997	0.08066235921
998	0.08063433586
999	0.08059561499
