iter	Passed	Remaining
0	6	6295
1	13	6799
2	20	6722
3	25	6457
4	31	6269
5	37	6211
6	43	6142
7	49	6178
8	55	6119
9	61	6110
10	67	6067
11	73	6023
12	79	6016
13	86	6082
14	91	6011
15	97	6023
16	103	5972
17	113	6166
18	119	6163
19	126	6194
20	131	6151
21	137	6117
22	144	6132
23	150	6130
24	156	6095
25	162	6083
26	167	6047
27	174	6042
28	180	6038
29	186	6023
30	191	6000
31	197	5966
32	203	5962
33	210	5971
34	216	5975
35	222	5944
36	227	5932
37	232	5896
38	239	5897
39	245	5903
40	250	5868
41	257	5862
42	263	5855
43	269	5858
44	280	5961
45	287	5969
46	293	5961
47	299	5932
48	305	5931
49	311	5922
50	317	5908
51	323	5897
52	328	5875
53	334	5858
54	340	5858
55	347	5850
56	352	5832
57	358	5819
58	363	5800
59	370	5802
60	376	5791
61	382	5786
62	387	5767
63	393	5747
64	398	5731
65	407	5759
66	413	5755
67	420	5758
68	426	5749
69	431	5731
70	438	5738
71	445	5739
72	450	5722
73	456	5708
74	461	5692
75	467	5686
76	474	5684
77	479	5668
78	485	5660
79	490	5643
80	496	5630
81	503	5632
82	508	5622
83	514	5610
84	521	5617
85	527	5610
86	538	5653
87	544	5644
88	551	5643
89	557	5632
90	563	5633
91	570	5632
92	576	5625
93	583	5621
94	589	5614
95	595	5603
96	601	5597
97	607	5593
98	612	5578
99	619	5579
100	625	5567
101	631	5559
102	638	5562
103	644	5548
104	651	5552
105	656	5539
106	663	5538
107	669	5533
108	675	5522
109	681	5514
110	688	5512
111	693	5502
112	700	5501
113	706	5493
114	713	5487
115	718	5476
116	724	5468
117	730	5459
118	737	5456
119	743	5450
120	749	5442
121	754	5429
122	760	5425
123	767	5421
124	773	5416
125	779	5407
126	785	5396
127	790	5383
128	800	5408
129	806	5395
130	812	5387
131	818	5385
132	825	5380
133	831	5376
134	838	5375
135	844	5366
136	850	5359
137	857	5357
138	864	5357
139	871	5350
140	877	5347
141	883	5338
142	889	5333
143	897	5334
144	905	5337
145	911	5330
146	917	5324
147	926	5332
148	933	5332
149	940	5328
150	947	5324
151	953	5318
152	960	5318
153	968	5323
154	975	5316
155	982	5314
156	988	5309
157	1002	5343
158	1011	5349
159	1018	5346
160	1028	5357
161	1035	5357
162	1043	5355
163	1049	5349
164	1058	5358
165	1067	5363
166	1076	5368
167	1084	5370
168	1092	5370
169	1100	5371
170	1107	5367
171	1114	5364
172	1124	5375
173	1132	5376
174	1140	5376
175	1147	5370
176	1156	5376
177	1165	5381
178	1174	5385
179	1182	5387
180	1190	5387
181	1198	5387
182	1211	5407
183	1220	5414
184	1230	5421
185	1239	5425
186	1246	5419
187	1257	5429
188	1264	5427
189	1273	5429
190	1281	5426
191	1288	5422
192	1296	5423
193	1304	5418
194	1311	5413
195	1318	5407
196	1326	5408
197	1333	5401
198	1340	5396
199	1347	5389
200	1360	5408
201	1367	5400
202	1375	5400
203	1385	5405
204	1393	5404
205	1401	5403
206	1408	5397
207	1416	5394
208	1424	5392
209	1431	5386
210	1440	5385
211	1449	5386
212	1458	5387
213	1464	5380
214	1471	5373
215	1481	5378
216	1489	5375
217	1496	5369
218	1504	5366
219	1511	5357
220	1518	5353
221	1526	5350
222	1533	5344
223	1540	5337
224	1549	5336
225	1557	5333
226	1565	5329
227	1572	5324
228	1580	5320
229	1587	5314
230	1593	5305
231	1600	5298
232	1605	5285
233	1612	5277
234	1619	5270
235	1625	5261
236	1630	5250
237	1637	5242
238	1643	5232
239	1650	5226
240	1656	5216
241	1662	5206
242	1667	5194
243	1673	5184
244	1678	5173
245	1685	5166
246	1692	5159
247	1699	5154
248	1707	5148
249	1715	5146
250	1721	5138
251	1728	5130
252	1735	5122
253	1742	5117
254	1749	5110
255	1755	5102
256	1761	5091
257	1767	5083
258	1774	5077
259	1785	5082
260	1792	5076
261	1799	5067
262	1805	5060
263	1812	5052
264	1818	5044
265	1824	5033
266	1831	5029
267	1837	5019
268	1846	5016
269	1853	5012
270	1859	5003
271	1865	4992
272	1872	4985
273	1878	4978
274	1884	4969
275	1892	4964
276	1898	4954
277	1905	4948
278	1918	4959
279	1929	4961
280	1935	4953
281	1945	4952
282	1952	4946
283	1962	4946
284	1970	4943
285	1979	4941
286	1987	4936
287	1995	4934
288	2005	4933
289	2015	4934
290	2024	4932
291	2030	4924
292	2038	4919
293	2046	4914
294	2053	4908
295	2064	4909
296	2072	4904
297	2079	4899
298	2088	4896
299	2095	4889
300	2102	4881
301	2110	4878
302	2116	4869
303	2125	4867
304	2133	4860
305	2140	4855
306	2147	4847
307	2155	4842
308	2162	4835
309	2169	4828
310	2176	4821
311	2183	4815
312	2191	4809
313	2197	4801
314	2204	4794
315	2211	4786
316	2217	4778
317	2223	4769
318	2229	4760
319	2236	4751
320	2243	4745
321	2250	4739
322	2258	4733
323	2264	4724
324	2271	4717
325	2276	4706
326	2281	4696
327	2288	4688
328	2293	4678
329	2299	4668
330	2306	4660
331	2312	4652
332	2319	4645
333	2325	4637
334	2332	4629
335	2339	4624
336	2346	4617
337	2353	4610
338	2360	4603
339	2367	4594
340	2373	4587
341	2379	4578
342	2386	4570
343	2392	4562
344	2399	4555
345	2405	4546
346	2411	4537
347	2417	4529
348	2423	4519
349	2428	4510
350	2434	4501
351	2440	4492
352	2446	4484
353	2452	4474
354	2457	4465
355	2463	4457
356	2469	4448
357	2475	4438
358	2481	4430
359	2486	4419
360	2492	4411
361	2498	4403
362	2504	4394
363	2509	4384
364	2515	4376
365	2520	4365
366	2525	4355
367	2531	4347
368	2536	4336
369	2541	4326
370	2547	4318
371	2553	4310
372	2573	4326
373	2583	4325
374	2592	4321
375	2603	4320
376	2610	4314
377	2619	4309
378	2627	4304
379	2634	4299
380	2643	4294
381	2650	4288
382	2664	4292
383	2674	4289
384	2683	4286
385	2692	4283
386	2701	4278
387	2710	4275
388	2718	4269
389	2725	4262
390	2732	4255
391	2740	4249
392	2747	4243
393	2754	4236
394	2761	4229
395	2771	4227
396	2778	4219
397	2784	4212
398	2791	4204
399	2797	4196
400	2803	4187
401	2809	4180
402	2816	4172
403	2821	4163
404	2828	4154
405	2833	4145
406	2840	4138
407	2846	4130
408	2851	4120
409	2857	4111
410	2862	4102
411	2868	4093
412	2875	4086
413	2880	4077
414	2886	4068
415	2891	4059
416	2897	4051
417	2903	4042
418	2908	4032
419	2913	4023
420	2918	4013
421	2924	4005
422	2929	3995
423	2934	3986
424	2939	3976
425	2944	3966
426	2948	3957
427	2954	3948
428	2959	3939
429	2964	3929
430	2969	3920
431	2974	3911
432	2979	3901
433	2984	3892
434	2991	3885
435	2997	3877
436	3003	3869
437	3008	3860
438	3014	3852
439	3020	3844
440	3026	3836
441	3032	3827
442	3037	3819
443	3043	3811
444	3049	3802
445	3055	3794
446	3060	3786
447	3066	3778
448	3072	3770
449	3078	3762
450	3084	3755
451	3090	3746
452	3096	3738
453	3102	3731
454	3108	3723
455	3113	3714
456	3125	3713
457	3132	3706
458	3138	3698
459	3144	3691
460	3150	3683
461	3156	3675
462	3162	3667
463	3168	3659
464	3173	3651
465	3178	3642
466	3185	3636
467	3191	3628
468	3197	3619
469	3202	3611
470	3207	3602
471	3213	3594
472	3218	3586
473	3224	3577
474	3229	3569
475	3234	3561
476	3239	3552
477	3244	3543
478	3249	3534
479	3255	3526
480	3261	3518
481	3266	3510
482	3272	3502
483	3277	3494
484	3283	3486
485	3288	3478
486	3294	3470
487	3300	3462
488	3305	3454
489	3312	3447
490	3318	3439
491	3323	3431
492	3329	3423
493	3335	3416
494	3340	3408
495	3347	3401
496	3354	3394
497	3360	3387
498	3367	3380
499	3372	3372
500	3378	3365
501	3385	3358
502	3391	3351
503	3398	3344
504	3404	3337
505	3411	3330
506	3417	3323
507	3424	3316
508	3431	3309
509	3436	3302
510	3442	3294
511	3449	3287
512	3455	3280
513	3462	3273
514	3468	3266
515	3473	3258
516	3481	3252
517	3487	3245
518	3492	3237
519	3499	3230
